name,date
A/Auxonne/0309/2021_mar|EPI_ISL_5135690|2021-03-26,2021/3/26
A/Washington/655/2019|EPI_ISL_397023|2019-10-21,2019/10/21
A/California/172/2019|EPI_ISL_397017|2019-10-05,2019/10/5
A/New_Jersey/37/2019|EPI_ISL_398863|2019-10-24,2019/10/24
A/Human/Moscow/245/2019|EPI_ISL_411847|2019-12-30,2019/12/30
A/Human/Moscow/73/2020|EPI_ISL_419381|2020-02-21,2020/2/21
A/Niedersachsen/195/2019|EPI_ISL_401779|2019-11-25,2019/11/25
A/Laos/879/2020|EPI_ISL_766931|2020-03-16,2020/3/16
A/Laos/748/2020|EPI_ISL_766941|2020-03-02,2020/3/2
A/Vietnam/Vnhcm-Vp49/2020|EPI_ISL_1064150|2020-02-19,2020/2/19
A/Denmark/260/2020|EPI_ISL_407921|2020-01-15,2020/1/15
A/Human/Yaroslavl/235/2019|EPI_ISL_407083|2019-12-12,2019/12/12
A/Laos/2883/2019|EPI_ISL_404445|2019-10-10,2019/10/10
A/Laos/855/2020|EPI_ISL_1732524|2020-03-20,2020/3/20
A/Rheinland-Pfalz/21/2020|EPI_ISL_481404|2020-02-23,2020/2/23
A/Bayern/49/2020|EPI_ISL_481424|2020-03-10,2020/3/10
A/Schleswig-Holstein/4/2020|EPI_ISL_482796|2020-02-10,2020/2/10
A/Nordrhein-Westfalen/136/2019|EPI_ISL_404994|2019-11-20,2019/11/20
A/Mecklenburg-Vorpommern/12/2022|EPI_ISL_10429832|2022-01-19,2022/1/19
A/Mecklenburg-Vorpommern/2/2022|EPI_ISL_10429833|2022-01-18,2022/1/18
A/Bremen/3/2022|EPI_ISL_11789577|2022-02-23,2022/2/23
A/Baden-Wuerttemberg/139/2020|EPI_ISL_481414|2020-03-03,2020/3/3
A/Niedersachsen/49/2020|EPI_ISL_482794|2020-02-05,2020/2/5
A/Mecklenburg-Vorpommern/13/2019|EPI_ISL_405003|2019-12-23,2019/12/23
A/Saint-Petersburg/RII-2319S/2020|EPI_ISL_471296|2020-02-14,2020/2/14
A/Saint-Petersburg/RII-3531S/2020|EPI_ISL_471327|2020-03-13,2020/3/13
A/Saint-Petersburg/RII-2181S/2020|EPI_ISL_419041|2020-02-11,2020/2/11
A/Saint-Petersburg/RII-1032S/2020|EPI_ISL_528722|2020-01-13,2020/1/13
A/Saint-Petersburg/RII-868S/2020|EPI_ISL_405301|2020-01-10,2020/1/10
A/Lyon/2003/2019|EPI_ISL_403008|2019-11-12,2019/11/12
A/Anantnag/AG_323/2020|EPI_ISL_412108|2020-01-02,2020/1/2
A/Anantnag/UG_50/2020|EPI_ISL_412115|2020-01-13,2020/1/13
A/Maine/01/2021|EPI_ISL_3534600|2021-07-09,2021/7/9
A/Maine/01/2021|EPI_ISL_3534601|2021-07-09,2021/7/9
A/Maine/01/2021|EPI_ISL_5332929|2021-07-09,2021/7/9
A/Maine/01/2021|EPI_ISL_5329262|2021-07-09,2021/7/9
A/Pennsylvania/02/2021|EPI_ISL_4375470|2021-08-25,2021/8/25
A/Pennsylvania/02/2021|EPI_ISL_4375485|2021-08-25,2021/8/25
A/Pennsylvania/02/2021|EPI_ISL_12109630|2021-08-25,2021/8/25
A/Ohio/03/2021|EPI_ISL_6307001|2021-10-07,2021/10/7
A/Ohio/03/2021|EPI_ISL_6307002|2021-10-07,2021/10/7
A/Ohio/03/2021|EPI_ISL_10491792|2021-10-07,2021/10/7
A/Ohio/03/2021|EPI_ISL_12109634|2021-10-07,2021/10/7
A/Wisconsin/14/2021|EPI_ISL_8541117|2021-11-23,2021/11/23
A/North_Carolina/02/2021|EPI_ISL_7603548|2021-09-18,2021/9/18
A/North_Carolina/02/2021|EPI_ISL_7603557|2021-09-18,2021/9/18
A/North_Carolina/02/2021|EPI_ISL_12141694|2021-09-18,2021/9/18
A/North_Carolina/02/2021|EPI_ISL_12109631|2021-09-18,2021/9/18
A/Lyon/CHU_0211681950/2021_sep|EPI_ISL_5136241|2021-09-20,2021/9/20
A/Lyon/820/2021|EPI_ISL_12709103|2021-11-16,2021/11/16
A/Abidjan/0455/2021_jul|EPI_ISL_5135627|2021-07-02,2021/7/2
A/Abidjan/0457/2021_jul|EPI_ISL_5135645|2021-07-03,2021/7/3
A/Abidjan/0458/2021_jun|EPI_ISL_5135673|2021-06-29,2021/6/29
A/Lisboa/65/2022|EPI_ISL_11793399|2022-01-16,2022/1/16
A/Lisboa/35/2022|EPI_ISL_11793400|2022-01-22,2022/1/22
A/Ohio/10/2022|EPI_ISL_12709094|2022-03-19,2022/3/19
A/Ohio/10/2022|EPI_ISL_12709095|2022-03-19,2022/3/19
A/Luxembourg/LNS5757539/2021|EPI_ISL_9775385|2021-12-28,2021/12/28
A/Luxembourg/LNS3474584/2022|EPI_ISL_12679286|2022-03-15,2022/3/15
A/Luxembourg/LNS6227624/2022|EPI_ISL_12679289|2022-02-28,2022/2/28
A/Luxembourg/LNS6411771/2022|EPI_ISL_12679293|2022-02-21,2022/2/21
A/Luxembourg/LNS5983207/2022|EPI_ISL_12679295|2022-02-10,2022/2/10
A/Luxembourg/LNS1177448/2022|EPI_ISL_12679299|2022-02-04,2022/2/4
A/Luxembourg/LNS8090820/2022|EPI_ISL_12679317|2022-02-21,2022/2/21
A/Luxembourg/LNS0639445/2022|EPI_ISL_12679320|2022-02-22,2022/2/22
A/Luxembourg/LNS0515973/2022|EPI_ISL_12679285|2022-02-09,2022/2/9
A/Luxembourg/LNS6669531/2022|EPI_ISL_12679297|2022-02-28,2022/2/28
A/Luxembourg/LNS3854153/2022|EPI_ISL_12679298|2022-03-04,2022/3/4
A/Luxembourg/LNS8814872/2022|EPI_ISL_12679315|2022-03-03,2022/3/3
A/Luxembourg/LNS3815208/2022|EPI_ISL_12679395|2022-03-08,2022/3/8
A/Luxembourg/LNS1082695/2022|EPI_ISL_12679302|2022-01-29,2022/1/29
A/Luxembourg/LNS7413842/2022|EPI_ISL_12679314|2022-03-03,2022/3/3
A/Luxembourg/LNS8805660/2022|EPI_ISL_12679392|2022-03-08,2022/3/8
A/Romania/308/2022|EPI_ISL_12666622|2022-03-23,2022/3/23
A/Romania/307/2022|EPI_ISL_12809114|2022-03-11,2022/3/11
A/Serbia/3697/2021|EPI_ISL_11957191|2021-12-28,2021/12/28
A/Serbia/3699/2021|EPI_ISL_12709098|2021-12-28,2021/12/28
A/Luxembourg/LNS6045131/2022|EPI_ISL_12679287|2022-01-03,2022/1/3
A/Luxembourg/LNS6308745/2022|EPI_ISL_12679288|2022-01-24,2022/1/24
A/Luxembourg/LNS0154099/2022|EPI_ISL_12679290|2022-03-03,2022/3/3
A/Luxembourg/LNS1285251/2022|EPI_ISL_12679291|2022-01-29,2022/1/29
A/Luxembourg/LNS5878401/2022|EPI_ISL_12679294|2022-02-22,2022/2/22
A/Luxembourg/LNS0947947/2022|EPI_ISL_12679300|2022-02-21,2022/2/21
A/Luxembourg/LNS8298555/2022|EPI_ISL_12679316|2022-02-10,2022/2/10
A/Luxembourg/LNS5937417/2022|EPI_ISL_12679318|2022-03-15,2022/3/15
A/Luxembourg/LNS4887604/2022|EPI_ISL_12679296|2022-02-02,2022/2/2
A/Luxembourg/LNS6487970/2022|EPI_ISL_12679319|2022-03-16,2022/3/16
