,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2007,13,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,10.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,10.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,10.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,10.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
2008,1,12,13,13,13,13,13,13,13,13,1,12,13,13,13,13,13,13,13,13,1,12,13,13,13,13,13,13,13,13,1,12,13,13,13,13,13,13,13,13,1,12,13,13,13,13,13,13,13,13,2,12,13,13,13,13,13,13,13,13,2,12,13,13,13,13,13,13,13,13,2,12,13,13,13,13,13,13,13,13,2,12,13,13,13,13,13,13,13,13
2009,2.90909083,3.90909083,13.86363628,14.86363628,14.86363628,14.86363628,14.86363628,14.86363628,14.86363628,14.86363628,2.66666663,3.66666663,13.62121208,14.62121208,14.62121208,14.62121208,14.62121208,14.62121208,14.62121208,14.62121208,2.62121208,3.62121208,13.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,2.62121208,3.62121208,13.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,2.62121208,3.62121208,13.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,2.62121208,3.62121208,13.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,14.57575753,1.98484848,2.98484848,12.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,1.98484848,2.98484848,12.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,1.98484848,2.98484848,12.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393,13.93939393
2010,3.48,5.2,6.2,16,17,17,17,17,17,17,3,4.72,5.72,15.52,16.52,16.52,16.52,16.52,16.52,16.52,2.6,4.32,5.32,15.12,16.12,16.12,16.12,16.12,16.12,16.12,2.6,4.32,5.32,15.12,16.12,16.12,16.12,16.12,16.12,16.12,2.6,4.32,5.32,15.12,16.12,16.12,16.12,16.12,16.12,16.12,2.6,4.32,5.32,15.12,16.12,16.12,16.12,16.12,16.12,16.12,2.6,4.32,5.32,15.12,16.12,16.12,16.12,16.12,16.12,16.12,2.6,3.6,4.6,14.4,15.4,15.4,15.4,15.4,15.4,15.4,2.6,3.6,4.6,13.6,14.6,14.6,14.6,14.6,14.6,14.6
2011,3.0833335,6.0833335,7.50000017,8.50000017,17.58333347,18.58333347,18.58333347,18.58333347,18.58333347,18.58333347,2.0833333,5.0833333,6.49999997,7.49999997,16.58333327,17.58333327,17.58333327,17.58333327,17.58333327,17.58333327,2.0833333,5.0833333,6.49999997,7.49999997,16.58333327,17.58333327,17.58333327,17.58333327,17.58333327,17.58333327,2.0833333,5.0833333,6.49999997,7.49999997,16.58333327,17.58333327,17.58333327,17.58333327,17.58333327,17.58333327,2.0833333,5.0833333,6.0833333,7.0833333,15.7499999,16.7499999,16.7499999,16.7499999,16.7499999,16.7499999,2.0833333,5.0833333,6.0833333,7.0833333,15.7499999,16.7499999,16.7499999,16.7499999,16.7499999,16.7499999,2.0833333,5.0833333,6.0833333,7.0833333,15.7499999,16.7499999,16.7499999,16.7499999,16.7499999,16.7499999,2.0833333,5.0833333,6.0833333,7.0833333,15.7499999,16.7499999,16.7499999,16.7499999,16.7499999,16.7499999,5.0833333,5.0833333,6.0833333,7.0833333,13.0833333,14.0833333,14.0833333,14.0833333,14.0833333,14.0833333
2012,0.625,3.625,6.625,8.125,9.125,18.125,19.125,19.125,19.125,19.125,0,3,6,7.5,8.5,17.5,18.5,18.5,18.5,18.5,0,3,6,7.5,8.5,17.5,18.5,18.5,18.5,18.5,0,3,6,7.5,8.5,17.5,18.5,18.5,18.5,18.5,0,3,6,7,8,17,18,18,18,18,1,3,6,7,8,17,18,18,18,18,1,3,6,7,8,17,18,18,18,18,3,3,6,7,8,17,18,18,18,18,3,6,6,7,8,14,15,15,15,15
2013,1.21052636,1.21052636,4.15789478,7.15789478,8.84210531,9.84210531,18.78947373,19.78947373,19.78947373,19.78947373,1.10526316,1.10526316,4.05263158,7.05263158,8.73684211,9.73684211,18.68421053,19.68421053,19.68421053,19.68421053,0.84210526,0.84210526,3.78947368,6.78947368,8.47368421,9.47368421,18.42105263,19.42105263,19.42105263,19.42105263,0.84210526,0.84210526,3.78947368,6.78947368,8.47368421,9.47368421,18.42105263,19.42105263,19.42105263,19.42105263,0.84210526,0.84210526,3.78947368,6.78947368,7.78947368,8.78947368,17.7368421,18.7368421,18.7368421,18.7368421,0.78947368,1.7368421,3.7368421,6.7368421,7.7368421,8.7368421,17.68421052,18.68421052,18.68421052,18.68421052,0.78947368,1.7368421,3.7368421,6.7368421,7.7368421,8.7368421,17.68421052,18.68421052,18.68421052,18.68421052,0.78947368,3.7368421,3.7368421,6.7368421,7.7368421,8.7368421,17.68421052,18.68421052,18.68421052,18.68421052,0.78947368,3.7368421,6.7368421,6.7368421,7.7368421,8.7368421,14.7368421,15.7368421,15.7368421,15.7368421
