"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"who_full_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","13.8","12.4285714285714","12.6666666666667","12.5454545454545","12.5","12.8823529411765","13.1176470588235","13","14.4090909090909","13.0606060606061"
"2014","12.8333333333333","13","11.6666666666667","13.7872340425532","12.5714285714286","13.1311475409836","12.7692307692308","12.7169811320755","13.5294117647059","13.25"
"2015","16","13.4","15.5","13.8181818181818","13.25","12.6811594202899","14","13","15.2972972972973","13.9745762711864"
"2016","16.3846153846154","16.493670886076","16.6551724137931","16.5604395604396","16.2769230769231","16.4596273291925","16.8260869565217","17.5689655172414","17.9196787148594","16.6834532374101"
"2017","19.75","18.1458333333333","19.5714285714286","18.3333333333333","17.8888888888889","18.0526315789474","18.609756097561","17.4242424242424","19.2603550295858","18.8709677419355"
"2018","6.89655172413793","5.68627450980392","6.33333333333333","4.51428571428571","4.6","5.10276679841897","6.06293706293706","6.13888888888889","7.375","6.06451612903226"
"2019","9.75","7.96575342465753","7.54006968641115","7.83451957295374","8.24","8.33689839572192","7.81395348837209","7.99598393574297","10.1064425770308","8.16822429906542"
"2020","11.5869565217391","11.5922330097087","12.0604026845638","10.7625899280576","11.3140096618357","10.4362745098039","11.9333333333333","10.4189189189189","11.6315789473684","11.1138211382114"
"beth_full_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","10","10.5714285714286","11.6666666666667","10.8181818181818","10.1666666666667","9.76470588235294","10.7647058823529","11.4736842105263","11.1212121212121","7.96969696969697"
"2014","3.83333333333333","5","4","4.91489361702128","4.14285714285714","4.59016393442623","3.76923076923077","4.20754716981132","4.75210084033613","4.25"
"2015","4","1.4","3.5","2","1.25","0.681159420289855","2","1.61538461538462","3.43243243243243","2.0593220338983"
"2016","2.75","2.56962025316456","3.10344827586207","2.82417582417582","2.32307692307692","2.67701863354037","3.17391304347826","5.86781609195402","4.285140562249","3.2158273381295"
"2017","3.875","2.39583333333333","3.71428571428571","2.7037037037037","2.11111111111111","2.15789473684211","2.70731707317073","2.88888888888889","3.62721893491124","3.04838709677419"
"2018","7.89655172413793","6.68627450980392","7.27272727272727","5.51428571428571","5.6","6.10276679841897","7.02797202797203","7.10185185185185","8.29545454545454","7.06451612903226"
"2019","6.78125","4.98630136986301","4.58188153310105","4.84163701067616","5.28","5.34224598930481","4.81395348837209","5.18072289156626","7.14565826330532","5.19626168224299"
"2020","5.43478260869565","5.48543689320388","5.8489932885906","4.24460431654676","4.68599033816425","3.62254901960784","5","4.41891891891892","4.75730994152047","4.21138211382114"
"answer_full_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","6.4","3","3.66666666666667","3.90909090909091","3.83333333333333","5.05882352941176","4.94117647058824","3.78947368421053","7.15151515151515","6.54545454545455"
"2014","0.833333333333333","2.33333333333333","1.16666666666667","2.04255319148936","1.14285714285714","2.11475409836066","0.769230769230769","2.07547169811321","1.85714285714286","1.25"
"2015","4","1.4","3.5","2","1.25","0.681159420289855","2","1.61538461538462","3.43243243243243","2.0593220338983"
"2016","1.01923076923077","0.670886075949367","1.6551724137931","1.26648351648352","0.692307692307692","0.950310559006211","1.8695652173913","6.92528735632184","2.91967871485944","2.28057553956835"
"2017","3.875","2.39583333333333","3.71428571428571","2.7037037037037","2.11111111111111","2.15789473684211","2.70731707317073","2.88888888888889","3.62721893491124","3.04838709677419"
"2018","3.89655172413793","2.72549019607843","3.39393939393939","1.52571428571429","1.6","2.1501976284585","3.07692307692308","3.56018518518519","4.44886363636364","3.09677419354839"
"2019","6.75","5.15753424657534","5.01393728222997","3.78113879003559","4.08","4.02673796791444","3.88372093023256","5.27309236947791","5.20168067226891","1.98130841121495"
"2020","5.43478260869565","5.48543689320388","5.8489932885906","4.24460431654676","4.68599033816425","3.62254901960784","5","4.41891891891892","4.75730994152047","4.21138211382114"
"lbi_full_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","11.2","9.57142857142857","9","8.63636363636364","9.5","10.5882352941176","10.2352941176471","10.4210526315789","12.1060606060606","11.0606060606061"
"2014","4.83333333333333","5.66666666666667","5.16666666666667","5.95744680851064","5.14285714285714","5.78688524590164","4.76923076923077","5.41509433962264","5.5672268907563","5.25"
"2015","4","1.4","3.5","2","1.25","0.681159420289855","2","1.61538461538462","3.43243243243243","2.0593220338983"
"2016","4.44230769230769","4.49367088607595","4.68965517241379","4.58791208791209","4.29230769230769","4.52795031055901","4.82608695652174","6.1551724137931","5.95983935742972","4.7410071942446"
"2017","4.875","3.39583333333333","4.71428571428571","3.7037037037037","3.11111111111111","3.15789473684211","3.70731707317073","3.64646464646465","4.61538461538461","4.03225806451613"
"2018","7.89655172413793","6.68627450980392","7.39393939393939","5.50857142857143","5.6","6.12252964426877","7.03496503496504","7.40740740740741","8.36931818181818","7.0241935483871"
"2019","7.78125","5.98630136986301","5.57839721254355","5.83807829181495","6.24","6.34224598930481","5.81395348837209","6.10843373493976","8.13165266106443","6.17757009345794"
"2020","7.91304347826087","7.93203883495146","8.35906040268456","6.89208633093525","7.40579710144928","6.43137254901961","7.8","6.74324324324324","7.65789473684211","6.90243902439024"
"who_epitope_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","3.2","2.71428571428571","2.33333333333333","3.09090909090909","3.16666666666667","2.64705882352941","3.35294117647059","2.94736842105263","3.31818181818182","2.84848484848485"
"2014","3.16666666666667","3.08333333333333","3","3.51063829787234","3","3.16393442622951","3.07692307692308","3.13207547169811","3.1218487394958","3.33333333333333"
"2015","4.5","3.2","3.5","3.36363636363636","3.3125","3.11594202898551","3.18181818181818","3.23076923076923","3.59459459459459","3.1271186440678"
"2016","4.03846153846154","4.07594936708861","4.31034482758621","3.97802197802198","3.96923076923077","4.01242236024845","3.91304347826087","3.44827586206897","4.00803212851406","3.90647482014389"
"2017","5.5","5.0625","6","5.40740740740741","4.33333333333333","5.05263157894737","4.53658536585366","4.19191919191919","4.87573964497041","5"
"2018","2.31034482758621","2.25490196078431","2.57575757575758","2.19428571428571","2.15","2.36363636363636","2.23776223776224","2.29166666666667","2.83522727272727","2.37903225806452"
"2019","3.4375","2.85616438356164","3.0383275261324","2.77402135231317","2.9","3","3.2906976744186","2.92771084337349","3.81512605042017","3.48598130841122"
