"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2013","2","1.42857142857143","2.66666666666667","1.71428571428571","4.8","1.70588235294118","2.58333333333333","1.84210526315789","3.58181818181818","3"
"2014","3.16666666666667","3.16666666666667","2","3.87234042553191","2.71428571428571","3.13114754098361","3.76923076923077","2.28846153846154","2.69198312236287","3.4"
"2015","4.5","2.5","8.5","3.54545454545455","2.6875","1.97058823529412","3.72727272727273","3.61538461538462","4.40540540540541","4.19491525423729"
"2016","1.03846153846154","0.708860759493671","1.24137931034483","1.3061797752809","0.66","1.17391304347826","2.22727272727273","4.64367816091954","2.4859437751004","1.96376811594203"
"2017","2.25","2.41666666666667","4","3.51851851851852","1.22222222222222","3.05263157894737","2.73170731707317","2.97979797979798","3.37278106508876","3.67741935483871"
"2018","1.44827586206897","1.52","1.81818181818182","2.53703703703704","2.8","2.3531746031746","2.31506849315068","2.10194174757282","3.14367816091954","2.14634146341463"
"2019","4.75","4.93006993006993","4.5625","3.78435114503817","4","3.84408602150538","3.72727272727273","4.50202429149798","3.77245508982036","3.35514018691589"
"2020","3.34782608695652","3.14563106796116","3.17647058823529","2.46268656716418","3","2.24137931034483","2.23333333333333","2.74324324324324","2.23684210526316","2.03252032520325"
"lbi_full_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","6","5.42857142857143","4.66666666666667","5.71428571428571","5.2","4.94117647058824","5.25","5.84210526315789","6.92727272727273","6.39393939393939"
"2014","11.5","11.3333333333333","10","12","10.4285714285714","10.983606557377","12.7692307692308","10.9615384615385","11.7172995780591","11.6"
"2015","11.5","10.9","13.5","11.7272727272727","10.8125","10.7352941176471","10.3636363636364","9.61538461538461","12","11.5847457627119"
"2016","6.42307692307692","6.41772151898734","6.3448275862069","6.84269662921348","6.56","6.82608695652174","7.13636363636364","7.22413793103448","7.81124497991968","6.99275362318841"
"2017","2.25","2.41666666666667","4","3.51851851851852","1.22222222222222","3.05263157894737","2.73170731707317","2.97979797979798","3.37278106508876","3.67741935483871"
"2018","2.44827586206897","2.5","2.81818181818182","3.49382716049383","3.75","3.26190476190476","3.19178082191781","2.82038834951456","3.77586206896552","2.91056910569106"
"2019","5.5625","5.85314685314685","5.22916666666667","6.33206106870229","6.48979591836735","6.22043010752688","7.20454545454545","6.48987854251012","6.83532934131737","7.5607476635514"
"2020","10.9347826086957","11.2233009708738","11.1176470588235","11.1940298507463","11.3553719008264","11.0837438423645","11.2333333333333","10.4324324324324","11.2280701754386","10.9918699186992"
"who_epitope_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","0.2","0","0.333333333333333","0.285714285714286","0.2","0","0.25","0.157894736842105","0.4","0.303030303030303"
"2014","0","0.0833333333333333","0.666666666666667","0.319148936170213","0.571428571428571","0.377049180327869","0.769230769230769","0.192307692307692","0.143459915611814","0.2"
"2015","1.5","0.7","1","0.818181818181818","0.6875","0.235294117647059","0.818181818181818","0.615384615384615","1.08108108108108","1.22881355932203"
"2016","1.88461538461538","1.9873417721519","1.89655172413793","2.09831460674157","2.08","2.05590062111801","2.04545454545455","1.86781609195402","2.31726907630522","2.06521739130435"
"2017","2","2.20833333333333","3","3.25925925925926","2.11111111111111","2.73684210526316","2.41463414634146","2.1010101010101","2.50295857988166","2.87096774193548"
"2018","1.17241379310345","1.32","1.36363636363636","1.51234567901235","1.1","1.35714285714286","1.0958904109589","0.985436893203884","1.05747126436782","1.11382113821138"
"2019","1.09375","1.5034965034965","1.375","1.41221374045802","1.38775510204082","1.38172043010753","1.61363636363636","1.35627530364372","1.3562874251497","1.79439252336449"
"2020","0.869565217391304","0.932038834951456","0.941176470588235","1.03731343283582","0.966942148760331","1.03448275862069","1","0.905405405405405","1.03801169590643","1.04065040650407"
"beth_epitope_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","0.2","0","0.333333333333333","0.285714285714286","0.2","0","0.25","0.157894736842105","0.4","0.303030303030303"
"2014","0","0.0833333333333333","0.666666666666667","0.319148936170213","0.571428571428571","0.377049180327869","0.769230769230769","0.192307692307692","0.143459915611814","0.2"
"2015","1.5","0.7","1","0.818181818181818","0.6875","0.235294117647059","0.818181818181818","0.615384615384615","1.08108108108108","1.22881355932203"
"2016","0.230769230769231","0.0379746835443038","0.310344827586207","0.171348314606742","0.08","0.0993788819875776","0.0454545454545455","0.258620689655172","0.385542168674699","0.0942028985507246"
"2017","0","0.208333333333333","1","1.25925925925926","0.111111111111111","0.736842105263158","0.414634146341463","0.323232323232323","0.50887573964497","0.879032258064516"
"2018","1.17241379310345","1.32","1.36363636363636","1.51234567901235","1.1","1.35714285714286","1.0958904109589","0.985436893203884","1.05747126436782","1.11382113821138"
"2019","0.09375","0.503496503496504","0.375","0.465648854961832","0.428571428571429","0.381720430107527","0.659090909090909","0.425101214574899","0.362275449101796","0.794392523364486"
"2020","0.173913043478261","0.12621359223301","0.176470588235294","0.0970149253731343","0.0991735537190083","0.0640394088669951","0","0.22972972972973","0.0380116959064327","0.040650406504065"
"answer_epitope_mismatch","NY","CA","CAN","UK","GER","FR","HK","SCP","JP","SG"
"2013","0.2","0","0.333333333333333","0.285714285714286","0.2","0","0.25","0.157894736842105","0.4","0.303030303030303"
"2014","0","0.0833333333333333","0.666666666666667","0.319148936170213","0.571428571428571","0.377049180327869","0.769230769230769","0.192307692307692","0.143459915611814","0.2"
