#name	rank	LBI
1	1	24.999967221060345
54	2	10.636614922646864
33	3	8.922048145419081
49	4	8.881514421113172
46	5	8.564164420781458
48	6	8.554011153837394
43	7	8.553175232937512
44	8	8.55245716343846
45	9	8.551916320951618
42	10	8.541464935449378
40	11	8.530258918735944
34	12	8.529917970290906
35	13	8.529914915480173
36	14	8.529532758254732
37	15	8.529303479860546
39	16	8.528959569138664
38	17	8.528959529843004
51	18	8.494943427284033
53	19	8.115234617151264
52	20	8.11259798033154
73	21	4.882811229691631
31	22	3.891661562198417
19	23	2.123567943487773
28	24	2.105094620717482
27	25	2.0515883748090586
25	26	2.0478341904152932
30	27	1.6311051747286598
17	28	1.4223513838123487
15	29	1.4117020681141756
16	30	1.3917671189416903
10	31	1.3689126506933278
64	32	1.2500326936869515
9	33	1.249875003366641
32	34	1.0811784322995963
13	35	1.0348056304367557
72	36	1.0056412846865999
14	37	1.0002752147086795
63	38	0.9827603709468347
60	39	0.9708861126638871
61	40	0.9487501087079206
7	41	0.8807744038351785
57	42	0.4997010244596972
59	43	0.4994424913250647
58	44	0.48863227836688666
71	45	0.4097946206859291
47	46	0.39472577596353353
26	47	0.38728057571606467
62	48	0.3865458073464601
41	49	0.38312147731531365
23	50	0.3820809775207562
69	51	0.3810191856000186
4	52	0.3808045939196293
21	53	0.3807769020494403
11	54	0.38070769548754724
12	55	0.3751610128339163
8	56	0.3750000000003383
67	57	0.3749999913407591
3	58	0.374999991209858
74	59	0.2628326076580741
22	60	0.26209651116366983
20	61	0.25626502306778876
55	62	0.2558045960307686
29	63	0.2557743217359963
68	64	0.25577180228277524
50	65	0.255771589449851
24	66	0.2557709390757673
6	67	0.14820708334623522
70	68	0.14240531252799232
5	69	0.14240531250967642
65	70	0.13660927208351642
56	71	0.1366092069839147
2	72	0.13660920660163334
18	73	0.13660920660163334
66	74	0.1366035416731226
