timepoint,strain,frequency,weighted_distance_to_present,weighted_distance_to_future,fitness,projected_frequency,y,future_timepoint,model,season
2015/4/1,A/Palestine/89/2015,0.002121,5.061905,4.633815,3.241734807,0.025671978,3.033151349,2017/4/1,cTiter_x-ne_star,2015/4/1
2015/10/1,A/Sydney/223/2015,0.002588,3.938113,6.738741,3.143034794,0.023531452,1.926124748,2017/10/1,cTiter_x-ne_star,2015/10/1
2016/4/1,A/Istanbul/1946182/2016,0.0032,12.037098,14.794056,3.892947219,0.07039722,10.08791497,2018/4/1,cTiter_x-ne_star,2016/4/1
2016/10/1,A/Dakar/17/2016,0.002679,6.787867,7.342702,2.410311242,0.015364914,4.345403028,2018/10/1,cTiter_x-ne_star,2016/10/1
2017/4/1,A/Moscow/98/2017,0.001998,5.398876,7.776685,3.199226567,0.021559743,4.13369401,2019/4/1,cTiter_x-ne_star,2017/4/1
2017/10/1,A/Kobe/202/2017,0.001659,7.99976,9.439822,3.609162517,0.026469798,6.821984899,2019/10/1,cTiter_x-ne_star,2017/10/1
2018/4/1,A/StPetersburg/RII-480/2018,0.002067,8.593298,6.917109,5.373185285,0.12731514,3.452558526,2020/4/1,cTiter_x-ne_star,2018/4/1
2018/10/1,A/Bangladesh/80914003/2018,0.00261,8.700238,10.418643,4.946211737,0.096501942,3.677425637,2020/10/1,cTiter_x-ne_star,2018/10/1
2019/4/1,A/Bhutan/446/2019,0.001114,7.601281,N/A,4.040143845,0.0246565,4.087121693,2021/4/1,cTiter_x-ne_star,2019/4/1
2019/10/1,A/Halmstad/5/2019,0.00489,19.333325,N/A,2.838611218,0.034651881,11.37381866,2021/10/1,cTiter_x-ne_star,2019/10/1
